# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
012L20A,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
3002331,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
ABV5443,1,25,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,31
EW3344,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
EX6537,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,2,0,0,0,31
FA,11,2,5,4,0,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,31
FA7485,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
FC8889,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31
FD,6,5,2,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31
FF2587,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
FF8839,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
FK7441,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
SCWF3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
002C21A,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
006B21A,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
030A21A,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
031A21A,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
042L20A,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
052E21A,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30
202A21A,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ACB4692,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
EL3249,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ER1741,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
FD6840,0,7,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,30
FF2590,25,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
FF8841,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
FL,1,0,6,1,1,2,0,0,0,1,0,0,15,0,0,0,0,0,2,0,30
FP1972,0,17,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,30
J07BX03,2,1,0,0,1,0,0,10,0,0,0,0,0,9,1,0,0,0,0,0,30
MODERNA,21,1,2,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,30
013L20A,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
024M20A,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
026A21A,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
044D21A,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
092D21A,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
BNT162B2,1,0,24,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29
EW2243,0,0,0,0,2,0,0,0,15,1,0,1,3,0,0,5,0,0,0,0,29
FE7051,0,2,0,1,0,0,0,6,2,3,0,0,0,13,0,0,0,0,0,0,29
FF2834,0,2,0,10,0,0,0,0,0,2,5,8,0,0,0,0,0,0,0,0,29
FG4509,0,0,0,0,0,0,0,0,0,22,3,3,0,0,0,0,0,0,0,0,29
FH3219,0,2,1,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,6,0,29
FJ6369,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
SCTJ2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
004M20A,26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28
017C21A,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1F036A,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1F1010A,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28
320308D,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
EM0477,0,18,0,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,28
EN,5,0,2,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,28
ET7205,0,2,0,9,0,0,0,0,0,1,5,1,3,2,0,0,0,0,0,0,28
EW2246,0,1,0,20,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,28
